grid_id,row,col,centroid_lat,centroid_lon,elevation_m,slope_deg,distance_to_river_m,road_density_km_per_km2,building_density_count_per_km2,susceptibility,flood_polygon_intersection,flood_polygon_source
G0323,3,23,-2.02214,30.032808,1380.0,5.2,451,9.03,432,0.7018975436794493,0,official
G0324,3,24,-2.02214,30.035055,1382.0,5.35,525,9.64,64,0.643003794264001,0,official
G0325,3,25,-2.02214,30.037302,1425.0,8.78,612,12.67,144,0.4812343264528501,0,official
G0326,3,26,-2.02214,30.039549,1459.0,8.41,722,23.13,160,0.38612878935923345,0,official
G0400,4,0,-2.019894,29.981124,1494.0,8.72,506,4.3,0,0.36380563148386175,0,official
G0401,4,1,-2.019894,29.983371,1489.0,10.32,257,5.79,0,0.4390764807992334,0,official
G0402,4,2,-2.019894,29.985618,1464.0,10.54,12,0.0,0,0.5613637582884142,0,official
G0403,4,3,-2.019894,29.987865,1486.0,8.22,232,4.18,0,0.48550613793892206,0,official
G0404,4,4,-2.019894,29.990112,1512.0,8.35,473,0.0,0,0.3663275504888751,0,official
G0405,4,5,-2.019894,29.992359,1472.0,11.12,720,0.0,0,0.2742945528839456,0,official
G0406,4,6,-2.019894,29.994606,1519.0,6.13,969,7.09,0,0.21219421104897185,0,official
G0407,4,7,-2.019894,29.996854,1521.0,3.33,950,1.85,0,0.26192102995877165,0,official
G0408,4,8,-2.019894,29.999101,1511.0,8.04,700,1.81,0,0.2857855392394928,0,official
G0409,4,9,-2.019894,30.001348,1458.0,15.45,451,0.0,0,0.36195693607489154,0,official
G0410,4,10,-2.019894,30.003595,1373.0,12.85,202,0.0,0,0.6305077968761036,0,official
G0411,4,11,-2.019894,30.005842,1355.0,5.37,44,0.0,0,0.8471831323847308,1,official
G0412,4,12,-2.019894,30.008089,1350.0,2.0,44,1.89,0,0.9714586901484861,1,official
G0413,4,13,-2.019894,30.010336,1351.0,0.11,134,7.72,0,0.9538574888695543,1,official
G0414,4,14,-2.019894,30.012584,1351.0,0.0,93,5.48,0,0.9748667479132064,1,official
G0415,4,15,-2.019894,30.014831,1351.0,0.16,200,7.12,0,0.923148046538752,1,official
G0416,4,16,-2.019894,30.017078,1350.0,0.23,204,0.0,0,0.9347536597286341,1,official
G0417,4,17,-2.019894,30.019325,1351.0,0.49,44,0.0,0,0.9700917876627305,1,official
G0418,4,18,-2.019894,30.021572,1353.0,1.95,74,0.0,0,0.9075384704251832,1,official
G0419,4,19,-2.019894,30.023819,1351.0,3.21,121,3.69,144,0.9595383999251773,0,official
G0420,4,20,-2.019894,30.026067,1351.0,2.76,119,0.0,272,0.9739577095165618,1,official
G0421,4,21,-2.019894,30.028314,1353.0,1.28,135,3.7,64,0.9330592152448801,1,official
G0422,4,22,-2.019894,30.030561,1356.0,1.75,179,8.91,496,0.9083836985975516,0,official
G0423,4,23,-2.019894,30.032808,1361.0,2.67,205,4.77,32,0.8418633408846387,0,official
G0424,4,24,-2.019894,30.035055,1372.0,3.69,310,3.85,768,0.802360823918645,0,official
G0425,4,25,-2.019894,30.037302,1390.0,7.33,378,5.59,112,0.6461913465359603,0,official
G0426,4,26,-2.019894,30.039549,1407.0,9.05,530,4.15,0,0.48994866750486205,0,official
G0500,5,0,-2.017648,29.981124,1523.0,5.83,507,11.27,0,0.3828565856203917,0,official
G0501,5,1,-2.017648,29.983371,1513.0,3.94,366,6.94,0,0.4793638892537536,0,official
G0502,5,2,-2.017648,29.985618,1508.0,6.66,261,1.42,0,0.47610648022416946,0,official
G0503,5,3,-2.017648,29.987865,1520.0,5.48,357,10.84,0,0.45151046905789477,0,official
G0504,5,4,-2.017648,29.990112,1527.0,3.46,558,6.68,0,0.39759134414307684,0,official
G0505,5,5,-2.017648,29.992359,1524.0,7.87,788,9.38,0,0.24071210666496506,0,official
G0506,5,6,-2.017648,29.994606,1523.0,3.03,1022,15.34,0,0.2414914662187258,0,official
G0507,5,7,-2.017648,29.996854,1498.0,5.08,974,7.44,0,0.24701581065550984,0,official
G0508,5,8,-2.017648,29.999101,1487.0,6.22,732,6.04,0,0.3300330410885098,0,official
G0509,5,9,-2.017648,30.001348,1461.0,8.42,499,4.56,0,0.41729648172808376,0,official
G0510,5,10,-2.017648,30.003595,1416.0,9.94,295,4.45,0,0.547215127551621,0,official
G0511,5,11,-2.017648,30.005842,1392.0,6.58,202,2.29,240,0.7302916783362617,0,official
G0512,5,12,-2.017648,30.008089,1368.0,4.88,75,2.23,80,0.8503966718851252,0,official
G0513,5,13,-2.017648,30.010336,1351.0,1.95,80,0.0,0,0.9419527652533773,1,official
G0514,5,14,-2.017648,30.012584,1351.0,0.16,56,0.0,0,0.9771685473743958,1,official
G0515,5,15,-2.017648,30.014831,1352.0,0.11,182,4.46,0,0.9132404800227042,1,official
G0516,5,16,-2.017648,30.017078,1352.0,0.26,386,0.0,0,0.8238464726003915,1,official
G0517,5,17,-2.017648,30.019325,1351.0,0.11,176,0.0,0,0.9381015094591583,1,official
G0518,5,18,-2.017648,30.021572,1351.0,0.11,69,0.0,0,0.9782417427189768,1,official
G0519,5,19,-2.017648,30.023819,1351.0,3.08,130,2.59,0,0.9079185014786347,1,official
G0520,5,20,-2.017648,30.026067,1361.0,7.14,134,3.81,272,0.8166365605054079,1,official
G0521,5,21,-2.017648,30.028314,1372.0,6.83,133,8.12,832,0.8188288791180912,0,official
G0522,5,22,-2.017648,30.030561,1376.0,13.64,85,8.48,64,0.7039084662916701,0,official
G0523,5,23,-2.017648,30.032808,1363.0,8.91,49,8.29,32,0.7939118870857498,0,official
G0524,5,24,-2.017648,30.035055,1368.0,3.01,120,3.39,0,0.8180773078878057,0,official
G0525,5,25,-2.017648,30.037302,1371.0,2.25,191,3.84,16,0.8319668382381225,0,official
G0526,5,26,-2.017648,30.039549,1387.0,4.79,298,11.85,192,0.7365876633480632,0,official
G0600,6,0,-2.015402,29.981124,1541.0,5.03,363,29.41,0,0.4412994180275977,0,official
G0601,6,1,-2.015402,29.983371,1520.0,5.06,155,14.24,0,0.5354906420890952,0,official
G0602,6,2,-2.015402,29.985618,1522.0,1.88,204,14.84,0,0.5589358821744208,0,official
G0603,6,3,-2.015402,29.987865,1530.0,3.49,429,15.43,0,0.4434921225892181,0,official
G0604,6,4,-2.015402,29.990112,1542.0,1.38,672,11.01,0,0.37355971897256796,0,official
G0605,6,5,-2.015402,29.992359,1541.0,2.21,902,12.37,0,0.2807480050621063,0,official
G0606,6,6,-2.015402,29.994606,1524.0,5.28,923,14.52,0,0.23477363901861417,0,official
G0607,6,7,-2.015402,29.996854,1495.0,6.16,963,0.86,0,0.23428927310248526,0,official
